Date,Open,High,Low,Close,Volume,Count,WAP
20230322 13:09:45 America/Los_Angeles,27038.625,27039.25,27037.875,27037.875,-1,-1,-1
20230322 13:09:50 America/Los_Angeles,27037.875,27060.875,27037.875,27060.875,-1,-1,-1
20230322 13:09:55 America/Los_Angeles,27060.875,27069.375,27060.875,27069.375,-1,-1,-1
20230322 13:10:00 America/Los_Angeles,27069.375,27069.375,27059.625,27059.875,-1,-1,-1
20230322 13:10:05 America/Los_Angeles,27059.875,27059.875,27033.125,27033.125,-1,-1,-1
20230322 13:10:10 America/Los_Angeles,27033.125,27033.125,27009.5,27009.5,-1,-1,-1
20230322 13:10:15 America/Los_Angeles,27009.5,27009.5,26993.875,27004.5,-1,-1,-1
20230322 13:10:20 America/Los_Angeles,27004.5,27054.875,27004.5,27054.875,-1,-1,-1
20230322 13:10:25 America/Los_Angeles,27054.875,27058.5,27032.375,27034.5,-1,-1,-1
20230322 13:10:30 America/Los_Angeles,27034.5,27034.5,27009.125,27009.125,-1,-1,-1
20230322 13:10:35 America/Los_Angeles,27009.125,27009.125,26994.375,26994.75,-1,-1,-1
20230322 13:10:40 America/Los_Angeles,26994.75,27017.0,26994.0,27006.875,-1,-1,-1
20230322 13:10:45 America/Los_Angeles,27006.875,27006.875,26997.875,26997.875,-1,-1,-1
20230322 13:10:50 America/Los_Angeles,26997.875,27006.875,26997.125,27000.875,-1,-1,-1
20230322 13:10:55 America/Los_Angeles,27000.875,27002.75,27000.25,27002.375,-1,-1,-1
20230322 13:11:00 America/Los_Angeles,27002.375,27017.75,27002.375,27015.375,-1,-1,-1
20230322 13:11:05 America/Los_Angeles,27015.375,27029.0,27015.375,27028.75,-1,-1,-1
20230322 13:11:10 America/Los_Angeles,27028.75,27049.875,27028.75,27048.875,-1,-1,-1
20230322 13:11:15 America/Los_Angeles,27048.875,27048.875,27039.625,27039.625,-1,-1,-1
20230322 13:11:20 America/Los_Angeles,27039.625,27039.625,27026.625,27026.625,-1,-1,-1
20230322 13:11:25 America/Los_Angeles,27026.625,27026.625,27007.875,27007.875,-1,-1,-1
20230322 13:11:30 America/Los_Angeles,27007.875,27007.875,26999.125,26999.125,-1,-1,-1
20230322 13:11:35 America/Los_Angeles,26999.125,26999.125,26989.375,26989.375,-1,-1,-1
20230322 13:11:40 America/Los_Angeles,26989.375,26989.375,26984.0,26984.0,-1,-1,-1
20230322 13:11:45 America/Los_Angeles,26984.0,26984.0,26981.875,26981.875,-1,-1,-1
20230322 13:11:50 America/Los_Angeles,26981.875,26981.875,26958.125,26958.125,-1,-1,-1
20230322 13:11:55 America/Los_Angeles,26958.125,26963.0,26958.125,26962.875,-1,-1,-1
20230322 13:12:00 America/Los_Angeles,26962.875,26969.625,26954.375,26969.625,-1,-1,-1
20230322 13:12:05 America/Los_Angeles,26969.625,26982.75,26966.375,26982.75,-1,-1,-1
20230322 13:12:10 America/Los_Angeles,26982.75,26986.0,26975.25,26976.875,-1,-1,-1
20230322 13:12:15 America/Los_Angeles,26976.875,27005.125,26976.875,27003.75,-1,-1,-1
20230322 13:12:20 America/Los_Angeles,27003.75,27012.625,27003.625,27012.625,-1,-1,-1
20230322 13:12:25 America/Los_Angeles,27012.625,27012.625,27001.125,27003.875,-1,-1,-1
20230322 13:12:30 America/Los_Angeles,27003.875,27024.375,27003.875,27024.375,-1,-1,-1
20230322 13:12:35 America/Los_Angeles,27024.375,27027.125,27021.5,27021.625,-1,-1,-1
20230322 13:12:40 America/Los_Angeles,27021.625,27034.375,27021.625,27032.0,-1,-1,-1
20230322 13:12:45 America/Los_Angeles,27032.0,27042.375,27032.0,27042.375,-1,-1,-1
20230322 13:12:50 America/Los_Angeles,27042.375,27042.375,27022.375,27022.375,-1,-1,-1
20230322 13:12:55 America/Los_Angeles,27022.375,27022.375,27011.125,27011.125,-1,-1,-1
20230322 13:13:00 America/Los_Angeles,27011.125,27011.125,27003.5,27005.125,-1,-1,-1
20230322 13:13:05 America/Los_Angeles,27005.125,27005.125,26999.875,26999.875,-1,-1,-1
20230322 13:13:10 America/Los_Angeles,26999.875,26999.875,26993.625,26993.625,-1,-1,-1
20230322 13:13:15 America/Los_Angeles,26993.625,26993.625,26976.125,26976.125,-1,-1,-1
20230322 13:13:20 America/Los_Angeles,26976.125,26986.375,26976.125,26985.375,-1,-1,-1
20230322 13:13:25 America/Los_Angeles,26985.375,26994.75,26985.375,26993.625,-1,-1,-1
20230322 13:13:30 America/Los_Angeles,26993.625,27009.875,26993.625,26996.125,-1,-1,-1
20230322 13:13:35 America/Los_Angeles,26996.125,26996.125,26967.875,26967.875,-1,-1,-1
20230322 13:13:40 America/Los_Angeles,26967.875,26967.875,26967.875,26967.875,-1,-1,-1
20230322 13:13:45 America/Los_Angeles,26967.875,26969.625,26967.875,26969.625,-1,-1,-1
20230322 13:13:50 America/Los_Angeles,26969.625,26969.625,26967.375,26967.375,-1,-1,-1
20230322 13:13:55 America/Los_Angeles,26967.375,26967.375,26963.875,26963.875,-1,-1,-1
20230322 13:14:00 America/Los_Angeles,26963.875,26963.875,26960.375,26961.375,-1,-1,-1
20230322 13:14:05 America/Los_Angeles,26961.375,26971.125,26961.375,26971.125,-1,-1,-1
20230322 13:14:10 America/Los_Angeles,26971.125,26989.375,26971.125,26989.375,-1,-1,-1
