Date,Open,High,Low,Close,Volume,Count,WAP
20220324 13:09:50 America/Los_Angeles,43878.625,43878.625,43878.625,43878.625,-1,-1,-1
20220324 13:09:55 America/Los_Angeles,43878.625,43878.625,43878.625,43878.625,-1,-1,-1
20220324 13:10:00 America/Los_Angeles,43878.625,43878.625,43878.625,43878.625,-1,-1,-1
20220324 13:10:05 America/Los_Angeles,43878.625,43878.625,43878.625,43878.625,-1,-1,-1
20220324 13:10:10 America/Los_Angeles,43878.625,43878.625,43878.625,43878.625,-1,-1,-1
20220324 13:10:15 America/Los_Angeles,43878.625,43878.625,43878.625,43878.625,-1,-1,-1
20220324 13:10:20 America/Los_Angeles,43878.625,43878.625,43878.625,43878.625,-1,-1,-1
20220324 13:10:25 America/Los_Angeles,43878.625,43878.625,43878.625,43878.625,-1,-1,-1
20220324 13:10:30 America/Los_Angeles,43878.625,43878.625,43878.625,43878.625,-1,-1,-1
20220324 13:10:35 America/Los_Angeles,43878.625,43878.625,43878.625,43878.625,-1,-1,-1
20220324 13:10:40 America/Los_Angeles,43878.625,43878.625,43878.625,43878.625,-1,-1,-1
20220324 13:10:45 America/Los_Angeles,43878.625,43878.625,43878.625,43878.625,-1,-1,-1
20220324 13:10:50 America/Los_Angeles,43878.625,43881.125,43878.625,43881.125,-1,-1,-1
20220324 13:10:55 America/Los_Angeles,43881.125,43887.375,43881.125,43887.375,-1,-1,-1
20220324 13:11:00 America/Los_Angeles,43887.375,43887.375,43887.375,43887.375,-1,-1,-1
20220324 13:11:05 America/Los_Angeles,43887.375,43887.375,43887.375,43887.375,-1,-1,-1
20220324 13:11:10 America/Los_Angeles,43887.375,43887.375,43887.375,43887.375,-1,-1,-1
20220324 13:11:15 America/Los_Angeles,43887.375,43887.375,43887.375,43887.375,-1,-1,-1
20220324 13:11:20 America/Los_Angeles,43887.375,43887.375,43887.375,43887.375,-1,-1,-1
20220324 13:11:25 America/Los_Angeles,43887.375,43887.375,43887.375,43887.375,-1,-1,-1
20220324 13:11:30 America/Los_Angeles,43887.375,43887.375,43879.375,43879.375,-1,-1,-1
20220324 13:11:35 America/Los_Angeles,43879.375,43879.375,43879.375,43879.375,-1,-1,-1
20220324 13:11:40 America/Los_Angeles,43879.375,43879.375,43879.375,43879.375,-1,-1,-1
20220324 13:11:45 America/Los_Angeles,43879.375,43879.375,43879.375,43879.375,-1,-1,-1
20220324 13:11:50 America/Los_Angeles,43879.375,43879.375,43879.375,43879.375,-1,-1,-1
20220324 13:11:55 America/Los_Angeles,43879.375,43879.375,43879.375,43879.375,-1,-1,-1
20220324 13:12:00 America/Los_Angeles,43879.375,43879.375,43879.375,43879.375,-1,-1,-1
20220324 13:12:05 America/Los_Angeles,43879.375,43879.375,43879.375,43879.375,-1,-1,-1
20220324 13:12:10 America/Los_Angeles,43879.375,43879.375,43879.375,43879.375,-1,-1,-1
20220324 13:12:15 America/Los_Angeles,43879.375,43879.375,43879.375,43879.375,-1,-1,-1
20220324 13:12:20 America/Los_Angeles,43879.375,43879.375,43879.375,43879.375,-1,-1,-1
20220324 13:12:25 America/Los_Angeles,43879.375,43879.375,43879.375,43879.375,-1,-1,-1
20220324 13:12:30 America/Los_Angeles,43879.375,43879.375,43879.375,43879.375,-1,-1,-1
20220324 13:12:35 America/Los_Angeles,43879.375,43887.625,43879.375,43887.625,-1,-1,-1
20220324 13:12:40 America/Los_Angeles,43887.625,43887.625,43887.625,43887.625,-1,-1,-1
20220324 13:12:45 America/Los_Angeles,43887.625,43887.625,43887.625,43887.625,-1,-1,-1
20220324 13:12:50 America/Los_Angeles,43887.625,43887.625,43887.625,43887.625,-1,-1,-1
20220324 13:12:55 America/Los_Angeles,43887.625,43887.625,43887.625,43887.625,-1,-1,-1
20220324 13:13:00 America/Los_Angeles,43887.625,43888.375,43887.625,43888.375,-1,-1,-1
20220324 13:13:05 America/Los_Angeles,43888.375,43888.375,43888.375,43888.375,-1,-1,-1
20220324 13:13:10 America/Los_Angeles,43888.375,43888.375,43888.375,43888.375,-1,-1,-1
20220324 13:13:15 America/Los_Angeles,43888.375,43888.375,43888.375,43888.375,-1,-1,-1
20220324 13:13:20 America/Los_Angeles,43888.375,43888.375,43888.375,43888.375,-1,-1,-1
20220324 13:13:25 America/Los_Angeles,43888.375,43888.375,43888.375,43888.375,-1,-1,-1
